epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,3.80492,1.99387,4.12244,2.80517,0.14839,0.00205,0.05629,0.00123,0.00028,1.96047,3.82384,2.80941,0.14277,4.287e-05,4.287e-05,4.287e-05
2,4.34425,1.90163,4.06836,2.85367,0.13253,0.00367,0.09942,0.00217,0.00075,1.77376,3.68084,2.68938,0.13104,9.95349e-05,9.95349e-05,9.95349e-05
3,4.89781,1.64821,3.65537,2.53915,0.13635,0.03409,0.44406,0.09233,0.04231,1.45626,3.07178,2.48776,0.10831,0.000155634,0.000155634,0.000155634
4,5.45275,1.41886,3.02177,2.31327,0.11263,0.32671,0.42622,0.38387,0.22726,1.36457,2.30031,2.32962,0.11839,0.000211167,0.000211167,0.000211167
5,6.00008,1.36095,2.42553,2.16312,0.11488,0.48229,0.51026,0.56558,0.36318,1.21666,1.80549,2.23086,0.10817,0.000266134,0.000266134,0.000266134
6,6.54783,1.2915,1.94975,1.95127,0.10406,0.81783,0.54212,0.64124,0.41722,1.16213,1.56085,2.15907,0.10377,0.000320535,0.000320535,0.000320535
7,7.09824,1.16308,1.73626,1.85111,0.09097,0.85897,0.66485,0.73633,0.52356,1.04874,1.34808,2.01376,0.08971,0.000374371,0.000374371,0.000374371
8,7.64928,1.05677,1.54557,1.80349,0.07285,0.81627,0.74772,0.78536,0.57699,1.02407,1.22438,1.91528,0.09628,0.00042764,0.00042764,0.00042764
9,8.19413,1.11883,1.39571,1.67933,0.09833,0.80585,0.74788,0.79469,0.587,0.98484,1.16179,1.84924,0.09061,0.000480344,0.000480344,0.000480344
10,8.73973,1.04049,1.25517,1.61689,0.08623,0.79166,0.77302,0.81823,0.60019,0.95561,1.11108,1.75952,0.08637,0.000532482,0.000532482,0.000532482
11,9.28891,0.97834,1.13747,1.54103,0.07353,0.88261,0.7672,0.86949,0.64583,0.97749,0.99685,1.65131,0.08301,0.000584054,0.000584054,0.000584054
12,9.8444,0.96514,1.04307,1.45185,0.07193,0.8974,0.81036,0.90143,0.66663,0.99764,0.92394,1.63537,0.0821,0.00063506,0.00063506,0.00063506
13,10.3791,0.91092,0.92922,1.38797,0.06254,0.89503,0.86562,0.91611,0.69742,0.90035,0.81933,1.51084,0.06479,0.0006855,0.0006855,0.0006855
14,10.9061,0.89196,0.86808,1.40048,0.06646,0.86875,0.89686,0.92623,0.70821,0.89781,0.79169,1.52203,0.06656,0.000735374,0.000735374,0.000735374
15,11.4287,0.87318,0.82353,1.40012,0.0618,0.90565,0.87249,0.92125,0.69536,0.86846,0.7779,1.44839,0.06576,0.000784682,0.000784682,0.000784682
16,11.9468,0.8858,0.78706,1.3074,0.06363,0.89223,0.93044,0.93707,0.71304,0.87197,0.72004,1.4778,0.05708,0.000833425,0.000833425,0.000833425
17,12.4706,0.84929,0.79141,1.31362,0.0556,0.89632,0.90984,0.94123,0.72826,0.86048,0.69311,1.4511,0.06212,0.000881602,0.000881602,0.000881602
18,13.0014,0.84988,0.77499,1.30587,0.05736,0.90451,0.91116,0.93981,0.73053,0.84086,0.66498,1.47986,0.05678,0.000929212,0.000929212,0.000929212
19,13.5178,0.7759,0.69705,1.28395,0.04205,0.88761,0.9391,0.94121,0.73554,0.82615,0.66564,1.45442,0.05132,0.000976257,0.000976257,0.000976257
20,14.0431,0.84433,0.73475,1.33221,0.05686,0.89576,0.91679,0.93652,0.73628,0.8312,0.65477,1.4153,0.05905,0.00102274,0.00102274,0.00102274
21,14.558,0.83201,0.72772,1.25401,0.07496,0.90754,0.92089,0.94,0.747,0.83476,0.67472,1.36535,0.06456,0.00106865,0.00106865,0.00106865
